id;est_validee_yn;pv_deliberation;pv_deliberation_content_type
1;20931;../fake-data/blob/hipster.png;image/png
2;26558;../fake-data/blob/hipster.png;image/png
3;2550;../fake-data/blob/hipster.png;image/png
4;10678;../fake-data/blob/hipster.png;image/png
5;22417;../fake-data/blob/hipster.png;image/png
6;2321;../fake-data/blob/hipster.png;image/png
7;23926;../fake-data/blob/hipster.png;image/png
8;1730;../fake-data/blob/hipster.png;image/png
9;20043;../fake-data/blob/hipster.png;image/png
10;23878;../fake-data/blob/hipster.png;image/png
