id;libelle_doc;annee_doc;date_enregistrement
1;tone;2024-05-24T01:55:22;2024-05-23T19:18:42
2;suspiciously;2024-05-24T14:43:27;2024-05-24T17:33:43
3;whirlpool;2024-05-24T02:25:14;2024-05-23T21:38:14
4;ew register;2024-05-24T12:05:10;2024-05-23T18:07:06
5;ugh;2024-05-23T18:46:52;2024-05-24T14:19:28
6;knottily temper;2024-05-24T01:05:04;2024-05-23T21:56:37
7;supposing elaborate;2024-05-23T23:07:37;2024-05-23T23:13:52
8;eventually;2024-05-24T08:57:49;2024-05-24T04:54:33
9;body roadway um;2024-05-24T04:41:59;2024-05-23T21:09:56
10;across afore;2024-05-24T15:56:15;2024-05-24T08:30:03
