id;origine_scolaire;annee_bac;numero_table;nature_bac;mention_bac;moyenne_selection_bac;moyenne_bac
1;viciously;2024-05-24;23996;boo briefly;chunter;27971.27;3246.94
2;yippee amid angrily;2024-05-23;32750;er mastication;droopy unbearably blah;11408.91;8015.12
3;blissfully charter;2024-05-24;20326;upskill fame lark;yuck;13993.4;20572.8
4;off triumphantly lone;2024-05-24;21383;portrait secretariat;what including act;9278.97;10254.49
5;inasmuch gee maid;2024-05-24;24984;somber;but;25097.1;24895.85
6;smoothly foolhardy within;2024-05-23;29201;proud;masculinize aw watercress;17875.42;7407.81
7;till wholly;2024-05-24;9732;exposition geez;till though excite;8117.47;6407.67
8;regarding heavy anenst;2024-05-24;2329;pfft as;wealthy instead over;3697.82;17409.35
9;cackle sleet mmm;2024-05-24;31553;phew;black-and-white give;17913.82;22281.29
10;feminine derivation seclude;2024-05-24;6690;mmm ultimately dimly;electrocute adjoin;8893.16;28757.89
