id;libelle_campagne;date_debut;date_fin;libelle_abrege
1;yet unblinking operating;2024-05-23;2024-05-24;above
2;likewise gadzooks;2024-05-24;2024-05-24;weatherise
3;refloat questioningly;2024-05-24;2024-05-24;sheepishly
4;flume;2024-05-24;2024-05-24;duh yahoo
5;gosh slot;2024-05-24;2024-05-23;now with
6;search popularise;2024-05-24;2024-05-24;why
7;carpool;2024-05-24;2024-05-24;anenst however
8;evil political underneath;2024-05-24;2024-05-24;acidly while gah
9;gram;2024-05-24;2024-05-24;boo
10;cup;2024-05-24;2024-05-24;ultimately
