id;frais_dossier_yn;classe_diplomante_yn;libelle_diplome;code_formation;nbre_credits_min;est_parcours_yn;lmd_yn;type_formation
1;30531;12921;obsess during amongst;wearily ah;19970;5685;18370;PUBLIC
2;608;28254;blah kiddingly;whereas socialise;20369;25969;7792;PUBLIC
3;26358;11327;yuck intensely eek;ha;11119;14750;1530;PUBLIC
4;3697;9590;weedkiller boohoo however;before immediately;29940;15431;21787;PRIVEE
5;24295;5483;handful successfully gosh;major absolute while;11270;8150;9644;PRIVEE
6;32228;5588;ha unwritten;however disposer;11544;14813;30083;PRIVEE
7;402;11580;underwire;wherever;14753;32506;13694;PRIVEE
8;8948;9129;blowgun without;huzzah;24153;15492;11507;PUBLIC
9;13688;30278;since keeper even;flock bird-watcher from;25042;21737;25156;PUBLIC
10;18646;16370;but;worth;19348;28580;28843;PRIVEE
