id;nombre_mensualites;paiement_premier_mois_yn;paiement_dernier_mois_yn;frais_dossier_yn;cout_total;mensualite
1;24411;8721;13461;20820;25597.23;27461.57
2;27635;6669;21732;1991;19562.87;28801.07
3;2368;6699;19568;5739;2248.7;20229.75
4;8977;4044;8328;6046;8029.4;30088.95
5;18445;24009;12432;15677;32440.42;30599
6;355;17079;21768;30654;23150.38;743.18
7;21538;15288;27291;32037;31251.29;25271.99
8;11795;14735;30615;7957;26325.94;28216.47
9;11250;1550;29432;15892;18546.96;31861.03
10;32741;21127;8163;2235;17072.31;31220.2
