id;valeur_frais;description_frais;frais_pour_assimile_yn;cycle;dia;dip;dip_privee;date_application;date_fin;est_en_application_yn
1;12036.07;satirize suggest;19963;DOCTOTAT;12214.65;23643.05;22291.17;2024-05-24;2024-05-23;3109
2;27746.51;aw shyly;15762;LICENCE;31637.24;16285.58;3397.94;2024-05-24;2024-05-23;28110
3;7530.43;comprehend;27845;MASTER;9725.44;16350.42;7716.9;2024-05-24;2024-05-24;4960
4;22610.47;against;32715;MASTER;3966.25;25235.8;32071.86;2024-05-24;2024-05-23;32018
5;18049.51;staff;22995;DOCTOTAT;17799.57;10575.81;5714.83;2024-05-23;2024-05-24;1829
6;19790.12;treasured ew;21660;MASTER;13791.63;11108.06;8644.24;2024-05-24;2024-05-24;2937
7;20436.71;chimpanzee whether questioningly;28369;DOCTOTAT;22378.9;13362.74;1697.79;2024-05-24;2024-05-24;20562
8;4024.39;downforce;3171;LICENCE;19090.49;17463.78;3104.82;2024-05-24;2024-05-24;27891
9;26922.98;remainder via;17851;DOCTOTAT;24997.59;27587.29;27320.75;2024-05-24;2024-05-24;13865
10;1737.59;yippee;23217;DOCTOTAT;16586.48;6869.07;32117.67;2024-05-23;2024-05-23;17843
