id;inscription_principale_yn;inscription_annulee_yn;paiement_frais_obl_yn;paiement_frais_integerg_yn;certificat_delivre_yn;date_choix_formation;date_validation_inscription
1;876;9327;2513;20984;161;2024-05-23T23:21:37;2024-05-24T08:01:03
2;21169;1757;9928;3346;5492;2024-05-24T10:15:46;2024-05-24T00:20:06
3;11914;3391;28498;30545;26695;2024-05-24T08:31:38;2024-05-24T15:45:38
4;24023;15829;6145;27126;6092;2024-05-24T01:10:48;2024-05-24T07:58:36
5;32154;10195;30281;26786;11874;2024-05-23T20:46:42;2024-05-24T05:10:46
6;807;15823;27412;3954;21716;2024-05-24T15:47:08;2024-05-24T14:48:05
7;14702;28159;10169;1697;12979;2024-05-24T08:56:03;2024-05-24T03:43:13
8;23587;16910;24420;24938;19499;2024-05-24T07:15:28;2024-05-24T08:21:41
9;1477;18044;3755;24078;5853;2024-05-24T09:48:45;2024-05-24T14:33:32
10;9772;26922;6747;13306;21847;2024-05-24T01:56:56;2024-05-24T15:35:59
