id;nom_ministere;sigle_ministere;date_debut;date_fin;en_cours_yn
1;fake drinking finally;awesome whoever meanwhile;2024-05-24;2024-05-24;6028
2;whether than biodegrade;bah preset;2024-05-24;2024-05-24;26824
3;currency;sternly;2024-05-23;2024-05-23;3452
4;whoever unto;barring purr vulture;2024-05-23;2024-05-24;10075
5;amongst until save;vaguely sleek excepting;2024-05-24;2024-05-23;12155
6;spill accurate pish;incentive;2024-05-23;2024-05-24;22725
7;friendly;an amusing ugh;2024-05-23;2024-05-24;15296
8;sty and wildly;nor above although;2024-05-24;2024-05-24;11400
9;however structure;dolman;2024-05-24;2024-05-24;31682
10;gee evince;splosh upliftingly;2024-05-24;2024-05-24;11106
