id;libelle_niveau;cycle_niveau;code_niveau;annee_etude
1;hm;LICENCE;insight gosh;besides position than
2;flourish;LICENCE;fooey softly adjust;redhead nifty
3;deficient;DOCTOTAT;not;once digital yuck
4;out;LICENCE;doff;geez furthermore
5;metallurgist;DOCTOTAT;acclimatise;but
6;why;DOCTOTAT;retrospective muss flagellate;gah
7;uh-huh pro than;LICENCE;matter tab;embalm ajar
8;mandate lash wooden;LICENCE;towards curtsy architect;once
9;woot;LICENCE;unfortunately deploy skeleton;finally creepy
10;elbow;MASTER;vitrify furthermore disparity;hurt the
