id;date_paiement;obligatoire_yn;echeance_payee_yn;email_user;date_forclos;forclos_yn
1;2024-05-24;24743;23337;relate;2024-05-24;12714
2;2024-05-24;23333;10484;off;2024-05-24;31078
3;2024-05-24;20553;21865;notwithstanding embroider inasmuch;2024-05-24;20261
4;2024-05-24;5876;6687;blah till afterwards;2024-05-24;5306
5;2024-05-24;31234;26908;fort ha;2024-05-24;23546
6;2024-05-24;22477;19889;even for international;2024-05-23;23396
7;2024-05-24;24494;11493;psst;2024-05-23;2975
8;2024-05-24;17525;21583;regarding frenetically brilliant;2024-05-24;32050
9;2024-05-24;19021;24979;likely reskill;2024-05-24;2195
10;2024-05-23;18083;2210;superb;2024-05-24;3095
