id;libelle_pays;pays_en_anglais;nationalite;code_pays;u_emoayn;c_edeaoyn;r_imyn;autre_yn;est_etranger_yn
1;bashfully wrench;provided remains logo;socialism finally;worth;4428;5785;29590;3146;10664
2;amid bouncy;immortal boo;unnecessarily rifle;obliterate deficit navigation;16631;20887;26874;26490;1123
3;barring coliseum;even acquit who;incidentally upliftingly psst;braid;28492;8694;28084;25340;13725
4;intrigue;what meanwhile;obediently what;reconfigure revenant salaam;13520;14991;24026;2160;3739
5;down scarily rapid;hm shampoo disturb;fair;drat until joyously;18975;1922;24126;4762;26458
6;throughout jittery;gah shame;um;drat anklet brightly;5989;28809;19634;31177;3463
7;flee mound shackle;woot;blah truthfully boohoo;hmph meh;21059;13144;8849;10881;28501
8;pfft alienated downright;unlike empathize yet;faithfully;forenenst;5553;26045;23102;25004;1598
9;ferryboat multicolored;concerning inasmuch controversy;ack woot;eek hence;18662;8735;9185;22955;2948
10;stockings;our witty;yahoo ew spectate;successfully;7256;3582;13099;28949;29489
