id;date_debut_connexion;date_fin_connexion;adresse_ip;actif_yn
1;2024-06-25;2024-06-24;alors que autour de égoïste;false
2;2024-06-25;2024-06-25;grâce à;false
3;2024-06-25;2024-06-25;infime longtemps meuh;true
4;2024-06-25;2024-06-25;à la faveur de tellement;true
5;2024-06-25;2024-06-24;de par;true
6;2024-06-25;2024-06-25;pschitt à la merci;false
7;2024-06-25;2024-06-25;fonctionnaire sitôt;true
8;2024-06-24;2024-06-25;vu que au prix de de manière à ce que;false
9;2024-06-25;2024-06-25;direction;true
10;2024-06-25;2024-06-25;tant;true
