id;libelle_doc;annee_doc;date_enregistrement
1;population du Québec;2024-06-25T04:47:12;2024-06-24T22:10:32
2;contre;2024-06-25T17:35:17;2024-06-25T20:25:33
3;foule;2024-06-25T05:17:04;2024-06-25T00:30:04
4;cot cot ordonner;2024-06-25T14:57:00;2024-06-24T20:58:56
5;miaou;2024-06-24T21:38:42;2024-06-25T17:11:18
6;totalement personnel professionnel;2024-06-25T03:56:54;2024-06-25T00:48:27
7;au point que dynamique;2024-06-25T01:59:27;2024-06-25T02:05:42
8;combien;2024-06-25T11:49:39;2024-06-25T07:46:23
9;camarade équipe vroum;2024-06-25T07:33:49;2024-06-25T00:01:46
10;concernant dans;2024-06-25T18:48:05;2024-06-25T11:21:53
