id;origine_scolaire;annee_bac;numero_table;nature_bac;mention_bac;moyenne_selection_bac;moyenne_bac;actif_yn
1;certainement;2024-06-25;23996;bè franco;officier;27971.27;3246.94;false
2;depuis;2024-06-25;7013;délégation;pendant émérite effrayer;30107.25;21852;false
3;retracer loufoque économiser;2024-06-25;17320;quoique;clocher;579;3978.75;true
4;membre du personnel porte-parole soudain;2024-06-25;13993;arrière selon;large afin de de façon que;24797.43;29318;false
5;jusqu’à ce que à même donner;2024-06-25;10254;du moment que ouf athlète;assigner tsoin-tsoin;12560.43;11226.88;true
6;ébranler percevoir ronron;2024-06-25;31978;à l'encontre de mal rocher;hôte;17312.85;31861.43;false
7;calculer;2024-06-25;19832;gestionnaire;chef coac coac;25186.64;30113.71;true
8;partager proche;2024-06-25;29573;pendant splendide autour de;près rapporter sous couleur de;18359.61;28677.08;false
9;comme en dedans de équipe de recherche;2024-06-25;7400;jeune enfant ouah;d’autant que;8810.52;16138.13;false
10;tordre;2024-06-25;2431;entrevoir ouah;à côté de à raison de parce que;888.44;26570.65;false
