id;libelle_campagne;date_debut;date_fin;libelle_abrege;actif_yn
1;sans que rédaction équipe de recherche;2024-06-24;2024-06-25;chez;false
2;ding actionnaire que;2024-06-25;2024-06-24;enterrer maintenant;true
3;pour que dès que;2024-06-25;2024-06-25;à seule fin de pour que;false
4;de façon à ce que féliciter;2024-06-25;2024-06-25;coin-coin partenaire rectangulaire;true
5;sécher serrer à l'égard de;2024-06-24;2024-06-25;infiniment buter;true
6;malade;2024-06-25;2024-06-25;novice;true
7;immense prou très;2024-06-25;2024-06-25;de sorte que bang vers;false
8;approuver;2024-06-25;2024-06-25;coin-coin biathlète;false
9;avare plus;2024-06-25;2024-06-25;également naguère perplexe;true
10;y;2024-06-25;2024-06-25;hors de bien;true
