id;sujet;annee_inscription_doctorat;encadreur_id;laboratoir_id
1;quitte à sale même si;2024-06-25;15715;26664
2;serviable modifier devant;2024-06-24;18455;1708
3;alentour;2024-06-25;90;24974
4;étonner à cause de vivace;2024-06-25;26869;18439
5;intervenir;2024-06-25;16629;28108
6;drelin;2024-06-25;11081;25018
7;précisément durer quoique;2024-06-25;23451;13397
8;peut-être délégation gestionnaire;2024-06-25;3497;4487
9;afin de perplexe bè;2024-06-24;27750;2826
10;commis pff infiniment;2024-06-25;24135;29337
