id;classe_diplomante_yn;libelle_diplome;code_formation;nbre_credits_min;est_parcours_yn;lmd_yn;actif_yn
1;false;blême égoïste;en cyan;31093;false;false;false
2;true;que meuh;bien que;13255;false;false;true
3;true;lors de passablement;dessus garder maigre;7752;false;true;false
4;false;obtenir partenaire;presque de peur que;2634;false;true;false
5;true;cogner;oups autour de en;7926;true;true;false
6;false;hors solitaire;communauté étudiante parmi;9644;false;false;true
7;true;mince magenta étant donné que;vers de façon à ce que;5600;true;true;false
8;true;dans la mesure où amener tic-tac;sous couleur de;5553;true;true;true
9;false;bien que crac;différer tantôt lors de;2757;true;false;false
10;false;parlementaire gai rédaction;valoir loufoque;15806;true;true;false
