id;description;chemin_path;chemin_file;en_cours_yn
1;asseoir joliment;hormis;douter lutter pis;membre à vie antagoniste
2;quoique énergique vivace;biathlète;ronron;oups afin que concurrence
3;aimable;actionnaire assez commis de cuisine;antagoniste tout à fait;incalculable ah perplexe
4;assumer pendant que;super;jamais;dring
5;psitt;déjà finir répondre;bzzz;de par
6;avare longtemps;malade;parfois défaire;vaincre abaisser
7;puisque collègue;glouglou;tsoin-tsoin;près de
8;pour que actionnaire en dépit de;prout;dans la mesure où également;personnel professionnel peut-être
9;afin que égoïste snif;solitaire;intrépide;antagoniste
10;vis-à-vie de triathlète;marron adversaire dès que;triathlète vroum instituer;étant donné que lentement
