id;nom_lycee;code_lycee;ville_lycee;academie_lycee;centre_examen
1;cocorico;gestionnaire vroum au-dehors;toc-toc athlète effacer;18991;minuscule
2;relire arrière;perplexe ha ha;tard engager de façon à ce que;6027;corps enseignant
3;multiple intrépide oups;ronron convertir paf;admirablement pencher;8477;commis de cuisine
4;chef rire psitt;d'avec équipe de recherche de façon que;courir que bzzz;2817;timide engendrer dynamique
5;vraiment;magnifique secours moderne;naguère;10909;paf
6;en decà de responsable;euh;apercevoir pourvu que échanger;23918;gémir d'avec
7;à partir de envelopper par suite de;considérable premièrement cot cot;juriste;13711;guère tantôt
8;psitt devant;pin-pon;triangulaire;9589;rectangulaire bien que
9;du fait que proche de;reposer hôte;commis de cuisine atchoum;2598;tendre quoique
10;sus de façon que prestataire de services;bien que nettoyer neutre;réduire soutenir mélancolique;24033;proche de aboutir
