id;nom_ministere;sigle_ministere;date_debut;date_fin;en_cours_yn;actif_yn
1;énergique diététiste puisque;altruiste alors que si;2024-06-25;2024-06-25;true;false
2;euh;errer assurément euh;2024-06-25;2024-06-25;true;false
3;pourvu que;au-devant;2024-06-25;2024-06-25;false;true
4;bof intrépide pacifique;pendant que approuver;2024-06-25;2024-06-24;false;false
5;au lieu de auparavant à l'instar de;téméraire;2024-06-24;2024-06-25;false;true
6;mal après que ouch;au point que hormis au cas où;2024-06-25;2024-06-25;false;true
7;patientèle secours avant que;après que collaborer coudre;2024-06-25;2024-06-25;false;true
8;précisément;dans la mesure où avex afin que;2024-06-25;2024-06-25;true;false
9;infiniment;dorénavant mal aimable;2024-06-24;2024-06-25;false;false
10;aménager;vorace tellement maigre;2024-06-25;2024-06-25;true;true
