id;libelle_niveau;code_niveau;annee_etude;actif_yn
1;ding;référer;smack recta;true
2;en outre de chef de cuisine adopter;bientôt;au-dessus;false
3;trop peu vorace;lorsque;après;false
4;ouille;oups secours;au point que;true
5;direction électorat;naguère vlan;dès;true
6;plutôt bè sans que;miam insipide moyennant;de sorte que citer;false
7;de la part de tant quand;où main-d’œuvre secours;boum espiègle super;false
8;dedans contribuer si bien que;lors cadre;insolite de peur que au-delà;false
9;chez commis;psitt comporter deçà;oups reporter responsable;true
10;secouriste afin de toc;hier formuler actionnaire;administrer;false
