id;libelle_operateur;user_login;code_operateur;actif_yn
1;secouriste à raison de avex;habile pour que;actionnaire calme fonctionner;false
2;jamais;apporter;triompher de;true
3;loin de à peu près;près souple;communauté étudiante;false
4;à raison de;balancer reposer;grandement;true
5;au-dessus de de façon que joliment;responsable rectorat;également;false
6;vide camarade entre-temps;cuicui;équipe;true
7;commis de cuisine;relire;grâce à;true
8;grandement comment;économiser;de peur que dès que y;true
9;ouch plonger malade;drôlement;vaste à partir de;false
10;du fait que à seule fin de;mater sous couleur de;considérer;false
