id;date_paiement;mois_paiement;annee_paiement;payer_mensualite_yn;payer_delais_yn;email_user
1;2024-06-25T15:48:46;au-dessus cuicui bang;jeune enfant;true;false;oups tant chef
2;2024-06-25T14:41:37;en tandis que depuis;patientèle;true;false;sale
3;2024-06-25T12:54:58;serviable;considérable triathlète proche de;false;false;tellement hôte
4;2024-06-25T20:41:28;rectorat insipide;habile longtemps éloigner;true;true;soit jeune enfant réclamer
5;2024-06-25T03:36:55;triste corps enseignant;verser sauf;true;false;prout
6;2024-06-25T00:45:37;groin groin;diplomate mal gens;true;false;blablabla
7;2024-06-25T10:38:48;adversaire rédaction;peu;true;true;souvent membre de l’équipe
8;2024-06-25T19:11:52;de sorte que;capter;false;true;bzzz fidèle
9;2024-06-25T17:55:03;groin groin;certainement;true;true;ralentir en plus de de la part de
10;2024-06-25T15:45:52;splendide émérite ouf;grâce à;true;false;à la faveur de
