id;date_paiement;obligatoire_yn;echeance_payee_yn;email_user;date_forclos;forclos_yn;paiment_delai_yn
1;2024-06-25;false;false;rigoler;2024-06-25;true;false
2;2024-06-25;true;true;tellement environ;2024-06-25;true;true
3;2024-06-25;false;false;lors tant adversaire;2024-06-25;true;false
4;2024-06-25;true;false;au défaut de quasiment afin de;2024-06-24;false;true
5;2024-06-24;false;true;protester;2024-06-25;false;false
6;2024-06-25;true;false;clac;2024-06-25;true;false
7;2024-06-24;false;false;géométrique croître;2024-06-25;false;true
8;2024-06-25;false;false;d'entre extrêmement actionnaire;2024-06-25;false;true
9;2024-06-25;false;true;tant magenta;2024-06-25;false;false
10;2024-06-25;true;true;avare;2024-06-25;true;true
