id;libelle_pays;pays_en_anglais;nationalite;code_pays;u_emoayn;c_edeaoyn;r_imyn;autre_yn;est_etranger_yn
1;doucement main-d’œuvre;si bien que personnel secouriste;mairie puisque;vis-à-vie de;true;true;false;true;true
2;devant apte;membre titulaire bè;outre restaurer;étouffer guide administration;false;false;false;false;true
3;pour chef de cuisine;de crainte que donner tant que;d’autant que partout meuh;compter;false;true;false;false;true
4;affronter;jusqu’à ce que si;d'abord jusqu’à ce que;priver corps enseignant accélérer;true;true;false;true;true
5;à défaut de  tard placide;drelin gens rompre;énergique;ha avant que si;false;true;false;true;false
6;en dépit de insipide;ha ha consommer;vroum;groin groin fonctionnaire gratis;true;false;false;false;true
7;attribuer administration soulager;groin groin;badaboum ici bzzz;snif hé;false;true;true;true;false
8;cocorico affable dense;loin de dresser sans que;davantage;à l'exception de;true;false;false;false;true
9;membre du personnel malade;à bas de du moment que collègue;pschitt groin groin;ouch comme;false;true;true;false;true
10;police;minuscule vide;euh coin-coin virer;céans;true;true;true;false;false
