id;libelle_programmation;date_debut_programmation;date_fin_programmation;ouvert_yn;email_user;date_forclos_classe;forclos_classe_yn;actif_yn
1;impromptu d’autant que;2024-06-25;2024-06-25;true;près au point que;2024-06-25;false;false
2;selon lors présidence;2024-06-25;2024-06-25;false;rectorat;2024-06-25;true;false
3;de par parmi;2024-06-25;2024-06-25;true;hi vroum;2024-06-25;false;true
4;parler donner;2024-06-25;2024-06-25;true;clientèle cependant;2024-06-25;false;true
5;spécialiste;2024-06-25;2024-06-25;true;paf avant débattre;2024-06-25;true;true
6;de la part de mairie;2024-06-24;2024-06-24;false;aimer broum extra;2024-06-25;true;true
7;pas mal;2024-06-25;2024-06-24;false;en vérité de crainte que quoique;2024-06-25;true;true
8;vraisemblablement euh;2024-06-25;2024-06-25;true;contester incorporer porte-parole;2024-06-25;true;true
9;triste pendant que;2024-06-25;2024-06-25;false;reprendre a probablement;2024-06-25;false;true
10;moderne dynamique;2024-06-24;2024-06-25;false;lectorat guère ronron;2024-06-25;false;false
