id;code_serie;libelle_serie;sigle_serie
1;extra;assez;ça
2;concurrence étaler;cependant;même si parce que si
3;du fait que grâce à aïe;svelte bien que drelin;via membre à vie
4;vouh éclairer que;paf souple étant donné que;susciter égoïste
5;rectorat;clientèle dedans tsoin-tsoin;tellement
6;groin groin affable;bien que totalement gratis;avant de du côté de
7;collègue derrière;d'après simple;du moment que depuis après-demain
8;avare plus délégation;ha pendant;totalement parce que si bien que
9;pourvu que ouille du côté de;guetter coac coac;autant camper badaboum
10;cyan;lors;assurément
