id;nom_specialites;sigle_specialites;specialite_particulier_yn;specialites_payante_yn;actif_yn
1;quand jeune enfant avant que;entrevoir alors que hôte;false;false;true
2;partenaire lors mélancolique;crac gonfler;false;false;true
3;tandis que au cas où;population du Québec délégation;true;true;true
4;présidence;plic de manière à exprès;false;true;false
5;crac;corps enseignant;false;false;true
6;approximativement ouille;charitable;false;true;true
7;que raisonner candide;de par lunatique;false;true;true
8;au point que voir moins;premièrement puisque aussitôt que;false;true;false
9;loufoque bè main-d’œuvre;clientèle toc;false;false;false
10;considérer briller;rechercher plic;true;false;false
