id;libelle_ufr;sigle_ufr;prefixe;actif_yn
1;grrr à condition que;même si vis-à-vie de aussitôt que;sombrer;true
2;aussitôt que;désigner;touriste membre de l’équipe toc-toc;true
3;commis de cuisine pff;tandis que brusque camarade;commissionnaire sans;false
4;miaou en dépit de;paf;bien que conseil d’administration;true
5;reprocher sage;snob psitt commissionnaire;sincère;true
6;au-dedans de ding;à côté de;au-dessus de pourpre;true
7;imaginer;tout;boire d'après couper;false
8;outre dès que;sécher très miam;commissionnaire;true
9;jadis vers comme;derechef paf svelte;céans;true
10;toucher de manière à ce que;trier volontiers;rédaction;true
